0,name,presentation
61,hw1,11
62,hw2,11
68,tag1,18
69,tag2,18
70,chow mein,11
71,beep,11
72,hello world,23
73,helloworld,23
74,something,27
75,somethign else,27
76,dum,32
77,super dum,32
78,amazing,32
79,sldkfjds,12
80,sdkfjsl,23
81,ksjdlf,23
83,summary,33
84,mystery,33
85,communication to player,33
86,puzzle,33
87,scaling,33
88,favorites,33
89,precedent,33
92,question,34
93,suggestion,34
94,useless,34
95,clarification question,34
96,thumbsUp.jpg,34
97,thumbsDown.jpg,34
98,sarcasm,34
100,bugfix,35
101,interest,35
102,experience,35
103,unclear,35
104,suggestion,35
105,confusing comment,35
107,positive,36
108,game play,36
109,negative,36
110,setting,36
112,neutral,36
113,suggestion,36
114,instruction,36
115,art,36
116,meaningless,36
117,ksjdhf,36
150,aaa,40
151,bbb,40
152,ccc,40
153,jjjj,39
154,asdfh,39
159,good,38
160,Nice!,38
161,Good,41
162,Bad,41
163,bad,38
164,interesting,60
169,mynew,38
170,hi!,39
171,lcheng: 1,79
172,lcheng: 2,79
173,lcheng: 3,79
174,dragone: ok,79
175,dragone: not bad,79
176,dragone: not good,79
177,dragone: oh,79
178,lcheng: 4,79
179,lcheng: 5,79
181,lcheng: 6,79
182,lcheng: 7,79
183,lcheng: 8,79
184,dragone: fine,79
185,dragone: yeah,79
186,lcheng: 9,79
187,dragone: done,79
188,tag one,39
189,tag two,39
190,five stars,39
191,Review,39
192,Review,81
193,Review,39
194,Review,32
199,Review,82
200,1 star,82
201,2 star,82
202,3 star,82
203,4 star,82
204,5 star,82
205,Review,84
206,1 Star,84
207,2 Stars,84
208,3 Stars,84
209,4 Stars,84
210,5 Stars,84
211,1 Star,83
212,2 Star,83
213,3 Star,83
214,4 Star,83
215,5 Star,83
216,Review,83
219,1 Star,91
221,2 Star,91
222,3 Star,91
223,4 Star,91
224,5 Star,91
225,Jordy,84
226,Useless,84
227,Review,91
228,1 Star,91
229,2 Star,91
230,3 Star,91
231,4 Star,91
232,5 Star,91
233,1 star,84
234,2 stars,84
235,3 stars,84
236,4 stars,84
237,5 stars,84
238,1 star,91
239,Review,91
240,Review,84
241,2 star,91
242,0 Star,84
243,1 Star,84
244,3 star,91
245,2 Star,84
246,4 star,91
247,3 Star,84
248,5 star,91
249,4 Star,84
250,5 Star,84
251,Review,91
252,1 star,91
253,2 star,91
254,3 star,91
255,4 star,91
256,5 star,91
257,Review,84
258,REVIEW,92
259,1 STAR,92
260,2 STAR,92
261,3 STAR,92
262,4 STAR,92
263,5 STAR,92
264,asdr,93
265,todo,93
