upvote id,voter id,date,response id
71,41,7/21/17,51
72,43,0000-00-00,53
73,42,0000-00-00,51
82,118,0000-00-00,68
90,142,0000-00-00,72
91,146,0000-00-00,52
92,148,0000-00-00,52
95,168,0000-00-00,103
96,174,0000-00-00,110
97,179,0000-00-00,112
100,181,0000-00-00,78
101,181,0000-00-00,79
102,181,0000-00-00,80
104,182,0000-00-00,92
106,184,0000-00-00,76
107,184,0000-00-00,77
111,185,0000-00-00,116
112,196,7/21/17,122
117,234,7/25/17,129
118,235,7/25/17,130
120,239,7/25/17,131
121,239,7/25/17,132
122,240,7/25/17,133
123,186,7/25/17,144
126,246,7/25/17,144
127,246,7/25/17,146
128,248,7/25/17,149
129,250,7/25/17,150
130,252,7/25/17,150
133,253,7/25/17,152
134,254,7/25/17,152
135,255,7/25/17,129
137,250,7/25/17,158
138,252,7/25/17,159
139,253,7/25/17,155
140,253,7/25/17,160
141,253,7/25/17,161
142,253,7/25/17,163
143,253,7/25/17,164
144,256,7/25/17,164
145,254,7/25/17,160
146,254,7/25/17,130
148,253,7/25/17,166
149,258,7/25/17,171
150,258,7/25/17,165
151,253,7/25/17,169
152,253,7/25/17,172
153,254,7/25/17,173
154,254,7/25/17,154
155,254,7/25/17,175
157,254,7/25/17,169
159,260,7/25/17,179
160,253,7/25/17,184
161,263,7/25/17,186
162,253,7/25/17,191
164,277,7/29/17,135
165,276,7/29/17,210
166,278,7/30/17,212
167,279,7/30/17,217
168,279,7/30/17,218
169,281,7/30/17,221
171,282,7/30/17,224
172,300,9/6/17,234
173,300,9/6/17,235
174,299,9/6/17,241
175,302,9/6/17,242
176,299,9/12/17,235
177,304,9/14/17,245
179,307,9/14/17,234
180,317,10/24/17,259
181,318,10/24/17,261
184,365,2/10/18,487
185,397,3/11/18,514
186,451,3/21/18,523
187,440,3/21/18,530
188,451,3/21/18,538
189,451,3/21/18,537
190,451,3/21/18,568
191,484,3/21/18,591
192,484,3/21/18,599
193,477,3/21/18,598
194,449,3/21/18,618
195,449,3/21/18,626
196,489,3/21/18,638
197,489,3/21/18,629
198,493,3/21/18,672
199,511,3/21/18,703
200,512,3/21/18,717
201,506,3/21/18,714
202,502,3/21/18,704
204,506,3/21/18,689
205,506,3/21/18,685
206,529,3/21/18,769
207,529,3/21/18,786
208,541,3/21/18,783
209,541,3/21/18,809
210,554,3/21/18,844
211,554,3/21/18,852
212,562,3/21/18,868
213,570,3/21/18,881
214,563,3/21/18,907
215,578,3/21/18,909
216,578,3/21/18,919
217,563,3/21/18,913
218,579,3/21/18,930
219,579,3/21/18,948
220,578,3/21/18,940
221,578,3/21/18,933
222,620,3/21/18,989
223,620,3/21/18,992
224,620,3/21/18,996
225,620,3/21/18,1010
226,620,3/21/18,1021
227,623,3/21/18,1040
228,619,3/21/18,1052
229,619,3/21/18,1043
230,622,3/21/18,1028
231,619,3/21/18,992
232,622,3/21/18,996
233,622,3/21/18,1042
234,639,3/21/18,1082
235,650,3/21/18,1119
236,660,3/21/18,1142
237,668,3/21/18,1161
238,668,3/21/18,1146
239,666,3/21/18,1163
240,665,3/21/18,1160
241,665,3/21/18,1136
242,688,3/21/18,1214
243,688,3/21/18,1213
244,688,3/21/18,1212
245,697,3/21/18,1217
246,695,3/21/18,1230
247,697,3/21/18,1221
248,687,3/21/18,1235
249,703,3/21/18,1237
250,697,3/21/18,1235
251,704,3/21/18,1217
252,696,3/21/18,1249
253,703,3/21/18,1256
254,746,4/4/18,1328
255,746,4/4/18,1334
256,741,4/4/18,1349
257,746,4/4/18,1324
258,766,4/4/18,1376
259,770,4/4/18,1379
260,775,4/4/18,1370
261,784,4/4/18,1380
262,770,4/4/18,1380
263,775,4/4/18,1381
264,767,4/4/18,1396
265,801,4/4/18,1429
266,807,4/4/18,1444
267,806,4/4/18,1438
268,817,4/4/18,1439
269,794,4/4/18,1457
270,805,4/4/18,1437
271,805,4/4/18,1450
272,832,4/4/18,1474
273,827,4/4/18,1506
274,790,4/4/18,1517
275,853,4/4/18,1536
276,853,4/4/18,1538
277,851,4/4/18,1536
278,857,4/4/18,1540
279,857,4/4/18,1553
280,844,4/4/18,1505
281,856,4/4/18,1561
283,873,4/4/18,1599
284,883,4/4/18,1612
285,891,4/4/18,1612
286,891,4/4/18,1606
287,911,4/4/18,1643
288,920,4/4/18,1643
289,904,4/4/18,1643
291,922,4/4/18,1683
292,922,4/4/18,1681
293,954,4/4/18,1712
294,954,4/4/18,1719
295,954,4/4/18,1730
296,960,4/4/18,1731
297,954,4/4/18,1700
298,949,4/4/18,1746
299,954,4/4/18,1737
300,965,4/4/18,1757
302,949,4/4/18,1744
304,960,4/4/18,1746
305,959,4/4/18,1762
306,961,4/4/18,1747
307,949,4/4/18,1776
308,961,4/4/18,1776
309,977,4/4/18,1790
310,975,4/4/18,1790
311,995,4/4/18,1792
312,977,4/4/18,1795
313,975,4/4/18,1820
314,987,4/4/18,1815
315,998,4/7/18,1884
316,998,4/7/18,1757
317,1024,4/18/18,1890
318,1022,4/18/18,1893
319,1025,4/18/18,1896
320,1025,4/18/18,1893
321,1032,4/18/18,1899
322,1022,4/18/18,1895
323,1025,4/18/18,1902
325,1042,4/18/18,1924
326,1043,4/18/18,1937
327,1058,4/18/18,1973
328,1058,4/18/18,1963
329,1072,4/18/18,1966
330,1058,4/18/18,1975
331,1076,4/18/18,1972
332,1076,4/18/18,1976
333,1072,4/18/18,1975
334,1069,4/18/18,1987
335,1113,4/18/18,2031
336,1102,4/18/18,2043
337,1102,4/18/18,2014
338,1141,4/18/18,2061
340,1136,4/18/18,2062
341,1136,4/18/18,2061
342,1135,4/18/18,2054
343,1142,4/18/18,2085
344,1142,4/18/18,2084
345,1145,4/18/18,2087
346,1145,4/18/18,2085
347,1149,4/18/18,2093
348,1178,4/18/18,2107
349,1155,4/18/18,2106
350,1178,4/18/18,2100
351,1182,4/18/18,2127
352,1165,4/18/18,2125
353,1170,4/18/18,2127
354,1167,4/18/18,2122
355,1197,4/18/18,2148
356,1197,4/18/18,2144
357,1198,4/18/18,2151
358,1002,4/18/18,2169
359,1217,4/18/18,2170
360,1206,4/18/18,2169
361,1225,4/18/18,2127
362,1009,4/18/18,2179
363,383,4/29/18,507
364,1229,4/29/18,501
365,371,4/29/18,2242
366,1280,6/7/18,2306
367,1283,6/7/18,2312
368,1301,6/7/18,2335
369,1289,6/7/18,2336
370,1289,6/7/18,2342
371,1289,6/7/18,2335
372,1317,6/7/18,2360
373,1325,6/13/18,2398
374,1325,6/13/18,2401
375,1325,6/13/18,2400
376,1327,6/14/18,2402
377,1327,6/14/18,2401
378,1327,6/14/18,2400
379,1328,6/19/18,2399
